race_date,meet,race_no,bet_type,combination,odds,raw_text
2026-04-19,서울,7,연승식,⑧,2.4,⑨ 1.5 ⑧ 2.4 ④ 1.6
2026-04-19,서울,7,연승식,④,1.6,⑨ 1.5 ⑧ 2.4 ④ 1.6
2026-04-19,서울,7,복승식,⑨⑧,17.2,⑨⑧ 17.2
2026-04-19,서울,7,쌍승식,⑨⑧,32.6,⑨⑧ 32.6
2026-04-19,서울,7,복연승식,⑨⑧,5.1,⑨⑧ 5.1 ⑨④ 2.9 ⑧④ 5.2
2026-04-19,서울,7,복연승식,⑨④,2.9,⑨⑧ 5.1 ⑨④ 2.9 ⑧④ 5.2
2026-04-19,서울,7,복연승식,⑧④,5.2,⑨⑧ 5.1 ⑨④ 2.9 ⑧④ 5.2
2026-04-19,서울,7,삼복승식,⑨⑧④,19.4,⑨⑧④ 19.4
2026-04-19,서울,7,삼쌍승식,⑨⑧④,154.9,⑨⑧④ 154.9
2026-04-19,서울,8,단승식,⑨,2.5,⑨ 2.5
2026-04-19,서울,8,연승식,⑨,1.3,⑨ 1.3 ⑩ 3.7 ④ 1.8
2026-04-19,서울,8,연승식,⑩,3.7,⑨ 1.3 ⑩ 3.7 ④ 1.8
2026-04-19,서울,8,연승식,④,1.8,⑨ 1.3 ⑩ 3.7 ④ 1.8
2026-04-19,서울,8,복승식,⑨⑩,15.5,⑨⑩ 15.5
2026-04-19,서울,8,쌍승식,⑨⑩,19.7,⑨⑩ 19.7
2026-04-19,서울,8,복연승식,⑨⑩,5.4,⑨⑩ 5.4 ⑨④ 3.0 ⑩④ 11.0
2026-04-19,서울,8,복연승식,⑨④,3.0,⑨⑩ 5.4 ⑨④ 3.0 ⑩④ 11.0
2026-04-19,서울,8,복연승식,⑩④,11.0,⑨⑩ 5.4 ⑨④ 3.0 ⑩④ 11.0
2026-04-19,서울,8,삼복승식,⑨⑩④,20.2,⑨⑩④ 20.2
2026-04-19,서울,8,삼쌍승식,⑨⑩④,76.3,⑨⑩④ 76.3
2026-04-19,서울,9,단승식,⑥,5.1,⑥ 5.1
2026-04-19,서울,9,연승식,⑥,1.8,⑥ 1.8 ① 1.8 ② 1.7
2026-04-19,서울,9,연승식,①,1.8,⑥ 1.8 ① 1.8 ② 1.7
2026-04-19,서울,9,연승식,②,1.7,⑥ 1.8 ① 1.8 ② 1.7
2026-04-19,서울,9,복승식,⑥①,9.5,⑥① 9.5
2026-04-19,서울,9,쌍승식,⑥①,23.5,⑥① 23.5
2026-04-19,서울,9,복연승식,⑥①,3.7,⑥① 3.7 ⑥② 3.5 ①② 3.3
2026-04-19,서울,9,복연승식,⑥②,3.5,⑥① 3.7 ⑥② 3.5 ①② 3.3
2026-04-19,서울,9,복연승식,①②,3.3,⑥① 3.7 ⑥② 3.5 ①② 3.3
2026-04-19,서울,9,삼복승식,⑥①②,12.6,⑥①② 12.6
2026-04-19,서울,9,삼쌍승식,⑥①②,82.2,⑥①② 82.2
2026-04-19,서울,10,단승식,⑨,4.8,⑨ 4.8
2026-04-19,서울,10,연승식,⑨,2.2,⑨ 2.2 ⑥ 3.3 ⑤ 1.2
2026-04-19,서울,10,연승식,⑥,3.3,⑨ 2.2 ⑥ 3.3 ⑤ 1.2
2026-04-19,서울,10,연승식,⑤,1.2,⑨ 2.2 ⑥ 3.3 ⑤ 1.2
2026-04-19,서울,10,복승식,⑨⑥,19.4,⑨⑥ 19.4
2026-04-19,서울,10,쌍승식,⑨⑥,41.4,⑨⑥ 41.4
2026-04-19,서울,10,복연승식,⑨⑥,8.6,⑨⑥ 8.6 ⑨⑤ 2.5 ⑥⑤ 6.1
2026-04-19,서울,10,복연승식,⑨⑤,2.5,⑨⑥ 8.6 ⑨⑤ 2.5 ⑥⑤ 6.1
2026-04-19,서울,10,복연승식,⑥⑤,6.1,⑨⑥ 8.6 ⑨⑤ 2.5 ⑥⑤ 6.1
2026-04-19,서울,10,삼복승식,⑨⑥⑤,18.1,⑨⑥⑤ 18.1
2026-04-19,서울,10,삼쌍승식,⑨⑥⑤,151.2,⑨⑥⑤ 151.2
